평점,리뷰
1,"체크 페이 등록 과정에서 ARS 인증이 너무 느린 부분, 폭탄 시스템을 도입한 것에서 너무나도 큰 불편함을 느끼네요. 먼저 ARS 인증 부분 데이터 가져오는 로직 좀 개선해주세요.."
1,"식당 브레이크 타임도 고지 안해놓다니요. 대기료 3000원내고 1시간반 기다리다가, 브레이크타임이라 두시간 더 기다려야한다고해서 취소했습니다. 식당측에서도 저 같은 경우가 많아서 테이블링에 몇 번이고 얘기했다는데 대기료 받으려고하는건지 아무런 조치도 없다며, 그 쪽으로 환불요청하라해서 환불요청했는데 테이블링은 답장도 없네요. 정말 별로예요 이 어플."
1,제주도 연돈 방문을 위해 설치했는데 위치 설정을 계속 물어보기만 하고 예약 페이지에 들어가지도 못하게 하네요!! 위치 설정 했는데 왜 계속 물어보는지 정말 바보 같은 앱이네요!
5,폮~탄을 써야 하지만 대기순서를 뒤로 미루는 기능은 탁월하다고 생각함. 이 앱 쓰면서 시간 내에 도착할 수 없는 상황을 몇 번 겪었는데 앞으로는 좀 더 편하게 앱을 쓸 수 있을듯..
1,자체 페이기능쓴답시고 억지로 계좌연결시키는데 뭘 잘못만든건지 계속 같은번호 입력해도 틀렸다고 나오고 신상정보와 아무연관없는비밀번호로 설정했는데 생일로하지말라고 오류를띄우더니 뒤로갔다가 다시하니까 또 통과되고 ars연결도 제대로안돼서 두번하게하고 그와중에 아이콘은또 누끼를 거지같이 따놔서 흰도트다보이는꼴보니까 오만정다떨어져서 그냥 줄서기 안하고 다른데갔습니다 어플때문에 가본적없는가게이미지도 최악이네요지금
2,"연돈 예약하려고 깔고 인원 한정 수량도 확인해서 메뉴 담았는데도 주문할 수 없다, 뭐다.. 계속 시도해보다 다시 처음 화면으로 들어가보니 예약 마감... 예약마감이면 예약마감이라고 뭐라도 띄어줘야되는거 아닌가 싶음"
3,지도에 음식점 표시되고 눌러서 고를 수 있으면 얼마나 좋을까요?
2,충전계좌가 등록이 안돼요 전화인증까지 다해놨는데 마지막 화면에서 렉걸렸는지 다음 화면으로 넘어가질 않아서.. 3번 시도해도 계속 이러네요
1,"별 한개도 아까움..줄서기 시스템에 왜 내 계좌정보가 필요한건지 전혀 모르겠으며, 또 폭탄시스템이라는게 있는데 폭탄이 없으면 줄서기도 못함. 이걸 대체할 시스템이 얼른 나오면 좋겠네요."
1,적립해야 원격대기 신청가능.. 자체 페이를 써야만 적립 가능.. 근데 그 페이란게 현금영수증도 못 하는 멍충이.. 가입하고 계좌 연동하면 10번은 대기순번 올릴 수 있으니 10번 쓰고 지워는걸 추천..
1,원격줄서기하려면 이제 음식값을 카드결제도 못하고 테이블링페이로 결제해야하네요. 완전 현금 뜯어내려고 작정하셨군요. 다른 어플 나오길 기대합니다.
1,가입도 복잡하고 계좌 연동까지 하고 나서야 예약 만석인걸 확인할 수 잇었습니다. 예약가능 여부부터 보여주면 좋겠어요
3,편리한면도 있는데 대기 등록전에 앞에 대기몇명. 몇번째 대기로 등록 예상된다는 예시같은게 떴으면 좋겠네요. 식당으로 이동하는길이라 대기가 짧으면 굳이 등록 필요가 없는데.. 이동 시간 사이에 순서가 온적이 있어서요^^
2,서치에 지역이랑 상호명이랑 쓰게 되어 있는데 관련없는 업체가 줄줄이 나와서 이게 서치가 맞나싶구요 지역을 검색하면 타지역도 떠요... 보통 찾는 업체가 없으면 없다고 표시되어야하는데 타업체들이 다닥다닥 뜨네요...지역 설정 따로 업체 서치 따로 해놨으면 좋겠네요 사용하기 불편해서 일단 삭제합니다
1,부모님이랑 식사가는데 안 기다릴 수 있게 사용하려고 했더니 웬 페이앱을 가입하래요 가입하기 눌러도 뭐 뜨지도 않으면서 어쩐란건지;; 너무 싫어요..... 가입이 강제적이라 더 그래요 선택형도 아니고 우리꺼 쓰려면 가입해! 이런식이라 더 쓰기 싫어져요....
5,"그냥 집 근처 맛집갈 때 사용해도 꿀이지만, 여행갈 때 사용하면 진짜 그 지역 맛집리스트도 볼 수 있고 원격으로 줄설 수 있어서 편해요!"
1,검색창 개선좀 해주세요.. 오는정 찾으면 '오' '는' '정' 한글자씩 포함된 모든 가게가 나오면 어떻게 찾으라는건지.. 없으면 없다고 나오는게 나을거같네요. 한 글자씩 나오는 검색결과로는 도저히 못찾겠네요. 규칙이 있는것도아니고
1,별 1개도 아까운 어플이네요. 사용자가 많다는 창만 뜨고. 그냥 예약이 다 됐다는 창을 띄우세요. 사용자가 많다=잠시 기다려라. 이렇게 어플 사용자에게 해석시켜서 계속 기다리면서 시간만 낭비하게 합니다.
1,너무 하네요 이런식으로 돈벌려고 하다니 독점하고 있는 대단한 기술이 필요한 시스템도 아닌데 유료화 하면 누가 쓰나요 당장 가는 가게마다 이것때문에 못오겠다고 해야겠네요 이런시스템 새로 치고 들어올 업체 차고 넘칠텐데 얼마나 잘되는지 두고볼게요
5,앱으로 음식점들 메뉴 주문부터 결제까지 쉽게 할 수 있어서 편하네요~앱에서 대신 줄서기 걸어 놓을 수 있어서 좋았어요
1,"처음 시작도 별로고 가입 다 해놓고 원격줄서기 했더니 페이 등록해라고 대기팀 70팀 이상 밀려버림. 상식적으로 사람 많이 몰리니까 사용하는 어플 기능인데, 선착순 등록할때 갑자기 추가적인 단계 만들어놓는 건 신규 가입자 물 멕이는 과정 아닌가 싶음."
